Phase,Indicator,Group,State,Subgroup,Time Period,Time Period Label,Value
Two,Symptoms of Depressive Disorder,By Age,United States,18 - 29 years,13,Aug 19 - Aug 31,35.4
Two,Symptoms of Depressive Disorder,By Age,United States,30 - 39 years,13,Aug 19 - Aug 31,27.9
Two,Symptoms of Depressive Disorder,By Age,United States,40 - 49 years,13,Aug 19 - Aug 31,23.8
Two,Symptoms of Depressive Disorder,By Age,United States,50 - 59 years,13,Aug 19 - Aug 31,23.8
Two,Symptoms of Depressive Disorder,By Age,United States,60 - 69 years,13,Aug 19 - Aug 31,19.7
Two,Symptoms of Depressive Disorder,By Age,United States,70 - 79 years,13,Aug 19 - Aug 31,14.8
Two,Symptoms of Depressive Disorder,By Age,United States,80 years and above,13,Aug 19 - Aug 31,13.8
Two,Symptoms of Depressive Disorder,By Gender,United States,Male,13,Aug 19 - Aug 31,22.5
Two,Symptoms of Depressive Disorder,By Gender,United States,Female,13,Aug 19 - Aug 31,26.4
Two,Symptoms of Depressive Disorder,By Race/Hispanic ethnicity,United States,Hispanic or Latino,13,Aug 19 - Aug 31,28.5
Two,Symptoms of Depressive Disorder,By Race/Hispanic ethnicity,United States,"Non-Hispanic white, single race",13,Aug 19 - Aug 31,23.2
Two,Symptoms of Depressive Disorder,By Race/Hispanic ethnicity,United States,"Non-Hispanic black, single race",13,Aug 19 - Aug 31,26.2
Two,Symptoms of Depressive Disorder,By Race/Hispanic ethnicity,United States,"Non-Hispanic Asian, single race",13,Aug 19 - Aug 31,20.8
Two,Symptoms of Depressive Disorder,By Race/Hispanic ethnicity,United States,"Non-Hispanic, other races and multiple races",13,Aug 19 - Aug 31,30.3
Two,Symptoms of Depressive Disorder,By Education,United States,Less than a high school diploma,13,Aug 19 - Aug 31,29.1
Two,Symptoms of Depressive Disorder,By Education,United States,High school diploma or GED,13,Aug 19 - Aug 31,27
Two,Symptoms of Depressive Disorder,By Education,United States,Some college/Associate's degree,13,Aug 19 - Aug 31,27.2
Two,Symptoms of Depressive Disorder,By Education,United States,Bachelor's degree or higher,13,Aug 19 - Aug 31,18.6
Two,Symptoms of Depressive Disorder,By State,Alabama,Alabama,13,Aug 19 - Aug 31,27.7
Two,Symptoms of Depressive Disorder,By State,Alaska,Alaska,13,Aug 19 - Aug 31,22.2
Two,Symptoms of Depressive Disorder,By State,Arizona,Arizona,13,Aug 19 - Aug 31,26.4
Two,Symptoms of Depressive Disorder,By State,Arkansas,Arkansas,13,Aug 19 - Aug 31,23.9
Two,Symptoms of Depressive Disorder,By State,California,California,13,Aug 19 - Aug 31,25.9
Two,Symptoms of Depressive Disorder,By State,Colorado,Colorado,13,Aug 19 - Aug 31,24.5
Two,Symptoms of Depressive Disorder,By State,Connecticut,Connecticut,13,Aug 19 - Aug 31,23.8
Two,Symptoms of Depressive Disorder,By State,Delaware,Delaware,13,Aug 19 - Aug 31,20.1
Two,Symptoms of Depressive Disorder,By State,District of Columbia,District of Columbia,13,Aug 19 - Aug 31,23.8
Two,Symptoms of Depressive Disorder,By State,Florida,Florida,13,Aug 19 - Aug 31,27.8
Two,Symptoms of Depressive Disorder,By State,Georgia,Georgia,13,Aug 19 - Aug 31,26.8
Two,Symptoms of Depressive Disorder,By State,Hawaii,Hawaii,13,Aug 19 - Aug 31,22.8
Two,Symptoms of Depressive Disorder,By State,Idaho,Idaho,13,Aug 19 - Aug 31,22.8
Two,Symptoms of Depressive Disorder,By State,Illinois,Illinois,13,Aug 19 - Aug 31,23.5
Two,Symptoms of Depressive Disorder,By State,Indiana,Indiana,13,Aug 19 - Aug 31,25.4
Two,Symptoms of Depressive Disorder,By State,Iowa,Iowa,13,Aug 19 - Aug 31,20
Two,Symptoms of Depressive Disorder,By State,Kansas,Kansas,13,Aug 19 - Aug 31,24.3
Two,Symptoms of Depressive Disorder,By State,Kentucky,Kentucky,13,Aug 19 - Aug 31,27.9
Two,Symptoms of Depressive Disorder,By State,Louisiana,Louisiana,13,Aug 19 - Aug 31,26.9
Two,Symptoms of Depressive Disorder,By State,Maine,Maine,13,Aug 19 - Aug 31,23.8
Two,Symptoms of Depressive Disorder,By State,Maryland,Maryland,13,Aug 19 - Aug 31,21.3
Two,Symptoms of Depressive Disorder,By State,Massachusetts,Massachusetts,13,Aug 19 - Aug 31,22.3
Two,Symptoms of Depressive Disorder,By State,Michigan,Michigan,13,Aug 19 - Aug 31,24.1
Two,Symptoms of Depressive Disorder,By State,Minnesota,Minnesota,13,Aug 19 - Aug 31,18.3
Two,Symptoms of Depressive Disorder,By State,Mississippi,Mississippi,13,Aug 19 - Aug 31,23.6
Two,Symptoms of Depressive Disorder,By State,Missouri,Missouri,13,Aug 19 - Aug 31,23.7
Two,Symptoms of Depressive Disorder,By State,Montana,Montana,13,Aug 19 - Aug 31,18.6
Two,Symptoms of Depressive Disorder,By State,Nebraska,Nebraska,13,Aug 19 - Aug 31,20.9
Two,Symptoms of Depressive Disorder,By State,Nevada,Nevada,13,Aug 19 - Aug 31,26.9
Two,Symptoms of Depressive Disorder,By State,New Hampshire,New Hampshire,13,Aug 19 - Aug 31,19.8
Two,Symptoms of Depressive Disorder,By State,New Jersey,New Jersey,13,Aug 19 - Aug 31,24.7
Two,Symptoms of Depressive Disorder,By State,New Mexico,New Mexico,13,Aug 19 - Aug 31,27.8
Two,Symptoms of Depressive Disorder,By State,New York,New York,13,Aug 19 - Aug 31,22.5
Two,Symptoms of Depressive Disorder,By State,North Carolina,North Carolina,13,Aug 19 - Aug 31,20.5
Two,Symptoms of Depressive Disorder,By State,North Dakota,North Dakota,13,Aug 19 - Aug 31,17.8
Two,Symptoms of Depressive Disorder,By State,Ohio,Ohio,13,Aug 19 - Aug 31,24.9
Two,Symptoms of Depressive Disorder,By State,Oklahoma,Oklahoma,13,Aug 19 - Aug 31,25.9
Two,Symptoms of Depressive Disorder,By State,Oregon,Oregon,13,Aug 19 - Aug 31,26.1
Two,Symptoms of Depressive Disorder,By State,Pennsylvania,Pennsylvania,13,Aug 19 - Aug 31,23.8
Two,Symptoms of Depressive Disorder,By State,Rhode Island,Rhode Island,13,Aug 19 - Aug 31,19.2
Two,Symptoms of Depressive Disorder,By State,South Carolina,South Carolina,13,Aug 19 - Aug 31,20.4
Two,Symptoms of Depressive Disorder,By State,South Dakota,South Dakota,13,Aug 19 - Aug 31,15.2
Two,Symptoms of Depressive Disorder,By State,Tennessee,Tennessee,13,Aug 19 - Aug 31,28.3
Two,Symptoms of Depressive Disorder,By State,Texas,Texas,13,Aug 19 - Aug 31,25.7
Two,Symptoms of Depressive Disorder,By State,Utah,Utah,13,Aug 19 - Aug 31,22.7
Two,Symptoms of Depressive Disorder,By State,Vermont,Vermont,13,Aug 19 - Aug 31,19.5
Two,Symptoms of Depressive Disorder,By State,Virginia,Virginia,13,Aug 19 - Aug 31,25.1
Two,Symptoms of Depressive Disorder,By State,Washington,Washington,13,Aug 19 - Aug 31,23.6
Two,Symptoms of Depressive Disorder,By State,West Virginia,West Virginia,13,Aug 19 - Aug 31,25.2
Two,Symptoms of Depressive Disorder,By State,Wisconsin,Wisconsin,13,Aug 19 - Aug 31,20.2
Two,Symptoms of Depressive Disorder,By State,Wyoming,Wyoming,13,Aug 19 - Aug 31,21.9
Two,Symptoms of Anxiety Disorder,National Estimate,United States,United States,13,Aug 19 - Aug 31,31.4
Two,Symptoms of Anxiety Disorder,By Age,United States,18 - 29 years,13,Aug 19 - Aug 31,41
Two,Symptoms of Anxiety Disorder,By Age,United States,30 - 39 years,13,Aug 19 - Aug 31,37.7
